ID,title,author_surname,author_name,curator_surname,curator_name,institution_name,institution_lat,institution_lng,located_at,location_geonames_id,location_lat,location_lng,part_of,institution_website,date,language,URL,epoch,branch,writing_support,facsimiles,advanced_search,index,glossary,encoding,download,creative_commons_license,,
1,"
Schopenhauer's Library *Annotations and marks in his Spanish books",Schopenhauer,Arthur,Losada Palenzuela,José Luis,University of Wrocław,51.11454,17.034477,Wrocław,3081368,51.11034,17.03714,Poland,https://international.uni.wroc.pl/en/s3.php,2017,"""SPA""",http://www.schopenhauer.uni.wroc.pl/,Modern,"Metaphysics, Ethics, Aesthetics,",Book,yes,no,no,no,XML-TEI,yes,no,,
2,"MEGAdigital - Online-Abteilung der historisch-kritischen 
Gesamtausgabe von Karl Marx und Friedrich Engels",Marx,Karl,Hubmann,Gerald ,Berlin-Brandenburgische Akademie der Wissenschaften,52.51389,13.3941,Berlin-Brandenburg,2950159,52.52,13.405,Germany,https://www.bbaw.de/,2016,"""GER""",https://megadigital.bbaw.de,Modern,"Political Philosophy, Philosophy of History, Practical Philosophy","Letter, Manuscript, Notebook",partly,yes,yes,no,XML-TEI,no,yes,,
3,Søren Kierkegaards Skrifter,Kierkegaards,Søren,Kynd,Karsten ,University of Copenhagen,55.6761,12.5683,Copenhagen,2618425,55.6761,12.5683,Denmark,https://www.ku.dk/en,2007,"""DAN""",https://tekster.kb.dk,Modern,"Philosophy of Religion, Ethics, Moral Philosophy",Manuscript,no,yes,no,no,partly XML-TEI,no,yes,,
4,Les Pensées de Blaise Pascal,Pascal,Blaise,Descotes,Dominique,Université Blaise Pascal / Bibliothèque nationale de France,45.7785,3.087,Paris,2988507,48.8339,2.3768,France,http://www.univ-bpclermont.fr,not provided,"""FRE""",http://www.penseesdepascal.fr,Modern,"Philosophy of Religion, Ethics, Metaphysics",Manuscript,yes,no,no,no,HTML/XML,no,no,,
4,Les Pensées de Blaise Pascal,Pascal,Blaise,Proust,Gilles,Université Blaise Pascal / Bibliothèque nationale de France,45.7785,3.087,Paris,2988507,48.8339,2.3768,France,http://www.univ-bpclermont.fr,not provided,"""FRE""",http://www.penseesdepascal.fr,Modern,"Philosophy of Religion, Ethics, Metaphysics",Manuscript,yes,no,no,no,HTML/XML,no,no,,
5,Renan Source,Renan,Ernest,Paone,Domenico,Institut des textes et manuscrits modernes: Item,48.8566,2.3522,Paris,2988507,48.8566,2.3768,France,https://www.item.ens.fr,2023,"""FRE""",http://www.renansource.org,Modern,"Philosophy of Religion, History of Philosophy, Moral Philosophy","Letter, manuscript",yes,yes,yes,no,XML-TEI,partial,yes,,
6,Johann Georg Hamann: Kommentierte Briefausgabe,Hamann,Johann Georg,Reibold,Janina,"Germanistisches Seminar Universität Heidelberg, Theodor Springmann Stiftung",49.4094,8.6946,Heidelberg,2811313,49.4094,8.6946,Germany,https://www.gs.uni-heidelberg.de/en,2015," ""GER""",https://hamann-ausgabe.de,Modern,"Philosophy of Language, Philosophy of Religion",Manuscript,no,yes,yes,yes,XML-TEI,no,yes,,
7,Pico della Mirandola: De hominis dignitate,Mirandola,Pico della,Riva,Massimo,"Brown University, Università degli Studi di Bologna, Biblioteca Comunale dell'Archiginnasio di Bologna",41.8268,-71.4025,"Providence, Rhode Island, USA",5229499,41.8268,71.4025,United States,https://www.brown.edu,not provided,"""LAT""",https://www.brown.edu/Departments/Italian_Studies/pico/,Medieval,"Moral Philosophy, Philosophical Anthropology, Philosophy of Religion",Manuscript,yes,no,no,no,not provided,no,no,,
8,Lament of St. Anselm,Canterbury,Anselm of,Kraebel,Andrew,"University of Pennsylvania, Trinity University",39.9526,-75.1652,Philadelphia,4560349,39.9526,75.1652,United States,https://www.upenn.edu,not provided,"""ENM""",https://lib.trinity.edu/lament/index.html,Medieval,Philosophy of Religion,"Manuscript, Codex",yes,no,no,no,XML-TEI,no,yes,,
9,Magistri Guillelmi Autissiodorensis Summa de officiis ecclesiasticis,Autissiodorensis,Guillelmus,Fischer,Franz,"Cologne Center for eHumanities, Institut für Dokumentologie und Editorik",50.9375,6.9603,Cologne,2921044,50.9375,6.9603,Germany,https://cceh.uni-koeln.de,2000,"""LAT""",https://guillelmus.uni-koeln.de/tcrit/tcrit_prologus,Medieval,"Moral Philosophy, Philosophy of Religion",Manuscript,yes,yes,yes,yes,XML-TEI,not provided,yes,,
